,street_name,average_total_count,collisions,lat,lng
770,PINECREST AV,365.0,1,32.798195,-117.142548
773,PLUM ST,929.4,2,32.736412,-117.225143
774,POBLADO RD,290.0,5,33.027256,-117.085953
775,POINSETTIA DR,1852.666666666667,2,32.743698,-117.225403
776,POINT LOMA AV,219.3636363636364,4,32.730936,-117.246013
779,POMERADO RD,273.07058823529405,64,33.055288,-117.069958
780,POPLAR ST,694.6,8,32.735786,-117.104134
781,PORTOBELO DR,5555.0,2,32.838436,-117.097412
782,PORTOFINO DR,705.0,2,32.94054,-117.243019
783,POTOMAC ST,111.04545454545456,16,32.679783,-117.058594
784,POWAY RD,2623.444444444445,34,32.945686,-117.080997
787,PRESTWICK DR,863.5,1,32.859303,-117.24736
789,PRINCESS VIEW DR,920.8,13,32.801758,-117.078117
790,PRODUCTION AV,1015.0,3,32.88199,-117.165821
791,PROSPECT PL,3306.6,5,32.847176,-117.267372
792,PROSPECT ST,942.8888888888887,13,32.847603,-117.27459
796,QUIVIRA RD,1602.666666666667,6,32.765938,-117.240623
798,RACINE RD,1562.666666666667,1,32.745579,-117.053589
800,RANCHO BERNARDO RD,1686.1851851851852,58,33.02191,-117.11792
801,RANCHO CARMEL DR,2343.0,22,32.978326,-117.081946
802,RANCHO HILLS DR,224.0,4,32.672031,-117.058167
803,RANCHO MISSION RD,1073.75,27,32.781498,-117.11176
805,RAY ST,379.5,5,32.74527,-117.129204
806,RAYTHEON RD,354.2,1,32.830852,-117.15412
807,REAGAN RD,454.0,10,32.910073,-117.14828
809,RED CEDAR DR,728.5,2,32.907784,-117.092392
810,REDWOOD ST,191.63636363636363,19,32.738426,-117.106459
811,REED AV,89.33333333333331,5,32.795544,-117.241524
812,REGENTS RD,437.8378378378378,33,32.871581,-117.218347
